Features;ItemSets;Clusters
500gb hard drive;[drive, 500gb hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1tb hard drive, 500gb hard drive, 750gb hard drive]
4gb ddr3l sdram;[4gb, ddr3l, sdram, 4gb ddr3l sdram];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [4gb ddr3l sdram]
amd radeon hd 8210 ;[amd, radeon, hd, 8210, amd radeon hd 8210];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [amd radeon hd 8210 ]
17.3  high-definition display;[display, high-definition display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [15.6  high-definition display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display, 17.3  high-definition display]
sc turbo boost up to 3.1 ghz;[turbo, boost, ghz, turbo boost, sc turbo boost];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [sc turbo boost up to 3.1 ghz, turbo boost up to 2.7 ghz]
8.1 operating system;[operating, system, operating system];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [8.1 64-bit operating system, 8.1 operating system]
built-in 2x2 high-speed wireless lan 802.11 ;[lan, built-in 2x2 high-speed wireless lan];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 ]
8.1 64-bit operating system;[operating, system, operating system, 64-bit operating system];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [8.1 64-bit operating system, 8.1 operating system]
1792mb total available video memory;[video, memory, video memory, total available video memory];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [4096mb total available video memory, 1792mb total available video memory]
17.3  wled-backlit high-definition touch-screen display;[display, wled-backlit high-definition touch-screen display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [17.3  wled-backlit high-definition touch-screen display, 15.6  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display]
1366 x 768 resolution;[resolution];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1920 x 1080 resolution, 1600 x 900 resolution, 1366 x 768 resolution]
15.6  full hd touch screen;[touch, screen, touch screen, full hd touch screen];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [15.6  touch screen, 15.6  full hd touch screen]
microsoft office 365 ;[microsoft, office, microsoft office];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [microsoft office 365 ]
15.6  high-definition display;[display, high-definition display];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [15.6  high-definition display, 17.3  wled-backlit high-definition display, 15.6  wled-backlit high-definition display, 17.3  high-definition display]
15.6  touch screen;[touch, screen, touch screen];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [15.6  touch screen, 15.6  full hd touch screen]
intel hd graphics 4400 ;[graphics, intel hd graphics];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [intel hd graphics 4400 , hd graphics 4400 ]
2.0 ghz processor speed;[ghz, processor, speed, ghz processor speed];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1.7 ghz processor speed, 1.9 ghz processor speed, 2.0 ghz processor speed]
1.9 ghz processor speed;[ghz, processor, speed, ghz processor speed];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1.7 ghz processor speed, 1.9 ghz processor speed, 2.0 ghz processor speed]
17.3  wled-backlit touch screen;[touch, screen, touch screen, wled-backlit touch screen];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [17.3  wled-backlit touch screen]
hard drive 5400 ;[drive, hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [hard drive 5400 ]
